,ApoA1_pl_clearance_rate_k,ApoB_pl_clearance_rate_k,Chol_ic_P_elimination_rate_k,Chol_ic_P_production_rate_k,Chol_ic_P_to_HDL_pl_rate_k,HDL_to_LDL_exchange_rate_k,HDL_to_VLDL_exchange_rate_k,LDLR_P_internalization_rate_k,LDLR_P_recycling_rate_k,LDLR_en_P_degradation_rate_k,LDLR_ic_P_production_rate_k,LDLR_ic_to_cs_P_trafficking_rate_k,LDL_LDLR_P_internalization_rate_k,LDL_LDLR_en_Kd*LDL_LDLR_en_association_rate_k,LDL_LDLR_en_association_rate_k,LDL_LDLR_pl_Kd*LDL_LDLR_pl_association_rate_k,LDL_LDLR_pl_association_rate_k,LDL_en_to_Chol_ic_P_rate_k,LDL_pl_LDLRind_P_uptake_rate_k,MAb_F*MAb_Ka,MAb_Ka*(-MAb_F + 1),MAb_PC9_2_Kd*MAb_PC9_2_association_rate_k,MAb_PC9_2_association_rate_k,MAb_PC9_2_kel,MAb_PCSK9_Kd*MAb_PCSK9_association_rate_k,MAb_PCSK9_association_rate_k,MAb_PCSK9_kel,MAb_dose,MAb_kel,PC9_LDLR_P_internalization_rate_k,PC9_LDLR_en_P_degradation_rate_k,PCSK9_LDLR_en_Kd*PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_pl_Kd*PCSK9_LDLR_pl_association_rate_k,PCSK9_LDLR_pl_association_rate_k,PCSK9_en_P_degradation_rate_k,PCSK9_pl_P_uptake_rate_k,PCSK9_pl_clearance_rate_k,SREBP_ic_P_degradation_rate_k,SREBP_ic_P_production_rate_k,SREBP_ic_to_nu_P_activation_rate_k,SREBP_nu_P_degradation_rate_k,StatinM_kel,Statin_F*Statin_Ka,Statin_Ka*(-Statin_F + 1),Statin_dose,Statin_kel,Statin_kmet,Statin_pc_to_pl_rate_k,Statin_pl_to_pc_rate_k,VLDL_pl_P_LDLRuptake_rate_k,VLDL_pl_P_uptake_rate_k,VLDL_to_LDL_conversion_rate_k
VP0,0.0,0.0,0.0,150000.0,0.00093,-0.025571722959666858,0.0823416559564492,-10.15194231973854,8.3,0.044050626059818056,0.7710977642520906,0.23350512934547216,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-67.34981602076513,0.2,4.995421359035712,0.5708655434957367,126.0,0.15737755748704407,-29.112466731917813,0.0,0.08871782993899986,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.06574083058764474
VP1,0.0,0.0,0.0,150000.0,0.00093,-0.03774042796905517,0.09451036096583751,-10.036010903796988,8.3,0.0506280082856552,0.8361296260792596,0.25319818775066494,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.49632637229341,0.2,4.354690985977952,0.5373595514895934,126.0,0.1355178152973118,-32.29348505965743,0.0,0.09944897610486843,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.07545621419513904
VP10,0.0,0.0,0.0,150000.0,0.00093,-0.06447725261531073,0.12124718561209308,-10.061414198369388,8.3,0.03249060692957611,0.6568015988499588,0.19889377119712842,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-77.25645086870692,0.2,4.614854022312306,0.5623298035577607,126.0,0.13079482765558936,-32.9807717677808,0.0,0.10176753367444126,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.09680265226593404
VP11,0.0,0.0,0.0,150000.0,0.00093,-0.042917232729815284,0.09968716572659762,-9.980224290438985,8.3,0.042841382445063754,0.7591417366152629,0.22988458483189375,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-81.74190929566409,0.2,4.039646710013318,0.5259082100712942,126.0,0.11875888090230849,-34.73223648687836,0.0,0.1076760893533246,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.07958932811918307
VP12,0.0,0.0,0.0,150000.0,0.00093,-0.03694494754597232,0.09371488054275466,-10.062311550749621,8.3,0.035845962371286545,0.6899766529937189,0.20893989721124717,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-76.47011586565394,0.2,2.9352196182510006,0.4248402622235006,126.0,0.13290482073235213,-32.673726671350586,0.0,0.10073171889130318,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.07482110984701497
VP13,0.0,0.0,0.0,150000.0,0.00093,-0.04092371743640292,0.09769365043318524,-10.102192834810927,8.3,0.06243471359113023,0.9528648258436354,0.28854813841040866,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-67.54141794655898,0.2,3.9818642416495202,0.48939279482431786,126.0,0.15686342707780399,-29.187282721989696,0.0,0.08897022123080864,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.0779977236067912
VP14,0.0,0.0,0.0,150000.0,0.00093,-0.049362662048982715,0.10613259504576505,-10.112974084128602,8.3,0.042758495577134306,0.7583222179743512,0.22963641681077038,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-70.83193480038139,0.2,2.941759385272889,0.41272446852895583,126.0,0.14803389799213448,-30.472151207767972,0.0,0.09330471732741002,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.08473530037361691
VP15,0.0,0.0,0.0,150000.0,0.00093,-0.04557874940311742,0.10234868239989978,-10.128681090785346,8.3,0.05918866426611793,0.9207705026098191,0.2788292811585834,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-66.0502400419671,0.2,4.838646115012865,0.5552825729656041,126.0,0.16086474336500278,-28.605013254482394,0.0,0.08700593868982012,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.08171425886891551
VP16,0.0,0.0,0.0,150000.0,0.00093,-0.04551634305425074,0.10228627605103308,-10.019000832049503,8.3,0.024059480756198213,0.5734414088034158,0.17365049743668526,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-82.53803878722476,0.2,3.8425125155748945,0.5117638108354581,126.0,0.11662260602089325,-35.043106097868716,0.0,0.10872480611329208,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.08166443420652823
VP17,0.0,0.0,0.0,150000.0,0.00093,-0.021513908624548904,0.07828384162133124,-10.204127531422825,8.3,0.04202677177342339,0.7510875219106719,0.22744559391068953,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-63.48382216825139,0.2,3.7439477317284435,0.46106787969376695,126.0,0.16775127890595642,-27.60288817998388,0.0,0.08362527578789743,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.06250110846082477
VP18,0.0,0.0,0.0,150000.0,0.00093,-0.03339882928109058,0.09016876227787292,-10.089212953139173,8.3,0.024155093690701755,0.5743867525483938,0.17393676802866542,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-76.73808027236397,0.2,4.459895233254287,0.5486455556927033,126.0,0.1321857849005733,-32.778360392065935,0.0,0.10108470011781279,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.07198992121730555
VP19,0.0,0.0,0.0,150000.0,0.00093,-0.04141795540284824,0.09818788839963058,-10.164159313434102,8.3,0.04112230427181649,0.7421448751901252,0.22473756650355847,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-66.96594120590474,0.2,3.1883397785877596,0.42397994932504024,126.0,0.15840761871864925,-28.96257275659137,0.0,0.08821216351621188,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.07839231871232624
VP2,0.0,0.0,0.0,150000.0,0.00093,-0.049656384744159766,0.1064263177409421,-10.187871846404976,8.3,0.01929415227539486,0.5263256760264243,0.15938283153705834,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-69.64892878783316,0.2,2.7204594819976604,0.39218887967527294,126.0,0.1512082886609386,-30.01021552667771,0.0,0.0917463800899971,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.08496980590692309
