,ApoA1_pl_clearance_rate_k,ApoB_pl_clearance_rate_k,Chol_ic_P_elimination_rate_k,Chol_ic_P_production_rate_k,Chol_ic_P_to_HDL_pl_rate_k,HDL_to_LDL_exchange_rate_k,HDL_to_VLDL_exchange_rate_k,LDLR_P_internalization_rate_k,LDLR_P_recycling_rate_k,LDLR_en_P_degradation_rate_k,LDLR_ic_P_production_rate_k,LDLR_ic_to_cs_P_trafficking_rate_k,LDL_LDLR_P_internalization_rate_k,LDL_LDLR_en_Kd*LDL_LDLR_en_association_rate_k,LDL_LDLR_en_association_rate_k,LDL_LDLR_pl_Kd*LDL_LDLR_pl_association_rate_k,LDL_LDLR_pl_association_rate_k,LDL_en_to_Chol_ic_P_rate_k,LDL_pl_LDLRind_P_uptake_rate_k,MAb_F*MAb_Ka,MAb_Ka*(-MAb_F + 1),MAb_PC9_2_Kd*MAb_PC9_2_association_rate_k,MAb_PC9_2_association_rate_k,MAb_PC9_2_kel,MAb_PCSK9_Kd*MAb_PCSK9_association_rate_k,MAb_PCSK9_association_rate_k,MAb_PCSK9_kel,MAb_dose,MAb_kel,PC9_LDLR_P_internalization_rate_k,PC9_LDLR_en_P_degradation_rate_k,PCSK9_LDLR_en_Kd,PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_pl_Kd*PCSK9_LDLR_pl_association_rate_k,PCSK9_LDLR_pl_association_rate_k,PCSK9_en_P_degradation_rate_k,PCSK9_pl_P_uptake_rate_k,PCSK9_pl_clearance_rate_k,SREBP_ic_P_degradation_rate_k,SREBP_ic_P_production_rate_k,SREBP_ic_to_nu_P_activation_rate_k,SREBP_nu_P_degradation_rate_k,StatinM_kel,Statin_F*Statin_Ka,Statin_Ka*(-Statin_F + 1),Statin_dose,Statin_kel,Statin_kmet,Statin_pc_to_pl_rate_k,Statin_pl_to_pc_rate_k,VLDL_pl_P_LDLRuptake_rate_k,VLDL_pl_P_uptake_rate_k,VLDL_to_LDL_conversion_rate_k
VP0,0,0,0,150000,0.00093,0.004117886,0.052652047,-10.53404374,8.3,0.063216769,0.960597163,0.290889658,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-31.8266559,0.2,7.601856378,0.226943972,63,0.083648242,-15.24151849,0,0.04192427,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.042036917
VP1,0,0,0,150000,0.00093,-0.01583055,0.072600483,-10.40887103,8.3,0.068371783,1.011565786,0.306324063,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-41.03590459,0.2,6.131275771,0.214426522,63,0.058936826,-18.83751084,0,0.054055328,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.057963566
VP10,0,0,0,150000,0.00093,0.020005399,0.036764534,-10.60284818,8.3,0.054609697,0.875497364,0.265119593,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-27.9904789,0.2,7.843601933,0.215556839,63,0.093941955,-13.74358271,0,0.036870992,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.02935247
VP11,0,0,0,150000,0.00093,0.020443041,0.036326892,-10.51144336,8.3,0.047559125,0.805786979,0.244009776,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-37.01175713,0.2,7.735000423,0.264467741,63,0.069734925,-17.26617707,0,0.048754443,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.029003061
VP12,0,0,0,150000,0.00093,-0.013212588,0.069982521,-10.6008509,8.3,0.077150182,1.09835953,0.332607091,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-23.36870075,0.2,8.411502717,0.214080428,63,0.106343692,-11.93888839,0,0.030782867,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.05587341
VP13,0,0,0,150000,0.00093,0.011618646,0.045151287,-10.3924586,8.3,0.084801083,1.17400549,0.355514329,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-38.8983719,0.2,8.522455169,0.332112152,63,0.064672523,-18.00285522,0,0.051239622,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.036048377
VP14,0,0,0,150000,0.00093,0.004465114,0.052304819,-10.28721543,8.3,0.059840306,0.927213412,0.280780334,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-52.86178911,0.2,6.589712491,0.288146008,63,0.027204124,-23.45523718,0,0.0696332,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.041759693
VP15,0,0,0,150000,0.00093,-0.008354048,0.065123981,-10.33363863,8.3,0.114942636,1.472020901,0.445759859,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-37.34007996,0.2,7.892493311,0.275792128,63,0.068853928,-17.39437932,0,0.049186933,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.051994396
VP16,0,0,0,150000,0.00093,0.019149621,0.037620312,-10.43868123,8.3,0.081818481,1.144515917,0.346584246,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-35.72677843,0.2,7.216248257,0.230961776,63,0.073182942,-16.76442348,0,0.04706178,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.030035716
VP17,0,0,0,150000,0.00093,0.001163952,0.055605981,-10.36825603,8.3,0.081793811,1.144271997,0.346510382,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-41.52921373,0.2,7.215974334,0.262162354,63,0.057613117,-19.03013631,0,0.054705149,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.04439531
VP18,0,0,0,150000,0.00093,-0.018431612,0.075201545,-10.61333581,8.3,0.052635231,0.855975427,0.259207927,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-27.5464217,0.2,8.302900406,0.23684251,63,0.095133505,-13.57018895,0,0.036286049,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.060040231
VP19,0,0,0,150000,0.00093,-0.021258717,0.07802865,-10.39359473,8.3,0.081634004,1.142691958,0.346031912,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-39.47733859,0.2,5.230272803,0.181332531,63,0.063118967,-18.22892792,0,0.052002277,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.062297366
VP2,0,0,0,150000,0.00093,0.020320391,0.036449542,-10.29435308,8.3,0.079754373,1.124107682,0.34040419,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-48.04573712,0.2,6.388816864,0.256148965,63,0.040127161,-21.57468354,0,0.063289164,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.029100983
VP3,0,0,0,150000,0.00093,0.015021178,0.041748755,-10.39658277,8.3,0.100027599,1.32455302,0.401103386,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-35.32572295,0.2,6.616994144,0.204992614,63,0.074259104,-16.60782087,0,0.046533482,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.033331827
VP4,0,0,0,150000,0.00093,0.00975327,0.047016663,-10.61814362,8.3,0.054333238,0.872763953,0.264291857,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-26.79010599,0.2,8.476583576,0.242009949,63,0.097162946,-13.27486567,0,0.035289778,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.037537677
VP5,0,0,0,150000,0.00093,0.02195617,0.034813763,-10.5348615,8.3,0.069156345,1.01932291,0.308673088,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-30.4981457,0.2,7.539877284,0.216409867,63,0.087213067,-14.72276689,0,0.040174264,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.027794992
VP6,0,0,0,150000,0.00093,-0.008146608,0.064916541,-10.19399415,8.3,0.103210388,1.356021873,0.410632838,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-51.32640022,0.2,8.547465462,0.42439127,63,0.031324073,-22.85570437,0,0.06761068,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.051828777
VP7,0,0,0,150000,0.00093,0.007544861,0.049225072,-10.49774566,8.3,0.043225799,0.762942535,0.231035549,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-39.05943886,0.2,6.381608181,0.21423058,63,0.064240328,-18.06574803,0,0.051451791,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.039300851
VP8,0,0,0,150000,0.00093,-0.001347795,0.058117728,-10.38048664,8.3,0.0731002,1.05831657,0.320481214,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-42.36840417,0.2,5.359315146,0.196103989,63,0.055361295,-19.3578202,0,0.055810589,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.046400667
VP9,0,0,0,150000,0.00093,0.011182981,0.045586952,-10.29473803,8.3,0.101527799,1.33938579,0.405595071,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-43.39073572,0.2,6.873761076,0.255245382,63,0.052618047,-19.75701633,0,0.057157274,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.036396208
