,ApoA1_pl_clearance_rate_k,ApoB_pl_clearance_rate_k,Chol_ic_P_elimination_rate_k,Chol_ic_P_production_rate_k,Chol_ic_P_to_HDL_pl_rate_k,HDL_to_LDL_exchange_rate_k,HDL_to_VLDL_exchange_rate_k,LDLR_P_internalization_rate_k,LDLR_P_recycling_rate_k,LDLR_en_P_degradation_rate_k,LDLR_ic_P_production_rate_k,LDLR_ic_to_cs_P_trafficking_rate_k,LDL_LDLR_P_internalization_rate_k,LDL_LDLR_en_Kd*LDL_LDLR_en_association_rate_k,LDL_LDLR_en_association_rate_k,LDL_LDLR_pl_Kd*LDL_LDLR_pl_association_rate_k,LDL_LDLR_pl_association_rate_k,LDL_en_to_Chol_ic_P_rate_k,LDL_pl_LDLRind_P_uptake_rate_k,MAb_F*MAb_Ka,MAb_Ka*(-MAb_F + 1),MAb_PC9_2_Kd*MAb_PC9_2_association_rate_k,MAb_PC9_2_association_rate_k,MAb_PC9_2_kel,MAb_PCSK9_Kd*MAb_PCSK9_association_rate_k,MAb_PCSK9_association_rate_k,MAb_PCSK9_kel,MAb_dose,MAb_kel,PC9_LDLR_P_internalization_rate_k,PC9_LDLR_en_P_degradation_rate_k,PCSK9_LDLR_en_Kd*PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_pl_Kd*PCSK9_LDLR_pl_association_rate_k,PCSK9_LDLR_pl_association_rate_k,PCSK9_en_P_degradation_rate_k,PCSK9_pl_P_uptake_rate_k,PCSK9_pl_clearance_rate_k,SREBP_ic_P_degradation_rate_k,SREBP_ic_P_production_rate_k,SREBP_ic_to_nu_P_activation_rate_k,SREBP_nu_P_degradation_rate_k,StatinM_kel,Statin_F*Statin_Ka,Statin_Ka*(-Statin_F + 1),Statin_dose,Statin_kel,Statin_kmet,Statin_pc_to_pl_rate_k,Statin_pl_to_pc_rate_k,VLDL_pl_P_LDLRuptake_rate_k,VLDL_pl_P_uptake_rate_k,VLDL_to_LDL_conversion_rate_k
VP0,0.0,0.0,0.0,150000.0,0.00093,-0.03461117501707842,0.09138110801386076,-10.143231794480508,8.3,0.021819693289830976,0.500833364129331,0.16694444571642436,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-72.78730029728845,0.2,2.7806506982224373,0.4040908963976022,126.0,0.14278701511779213,-31.23567487798882,0.0,0.0958804598293599,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.07295784704679559
VP1,0.0,0.0,0.0,150000.0,0.00093,-0.04076399398897578,0.09753392698575813,-9.898364279538388,8.3,0.05535602923883913,0.8020625015466887,0.2673541527797727,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-85.82305775224002,0.2,2.811532031945656,0.4358204674445196,126.0,0.1078078295626343,-36.32582778896992,0.0,0.11305206001098285,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.0778702018563939
VP10,0.0,0.0,0.0,150000.0,0.00093,-0.07785311661686653,0.13462304961364888,-10.19688041459388,8.3,0.049103120919440045,0.7458978035824761,0.24863258780023878,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-62.577809759228664,0.2,5.188602976869557,0.5757741984381336,126.0,0.17018240546534508,-27.249111905984527,0.0,0.082431813658743,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.1074818206537394
VP11,0.0,0.0,0.0,150000.0,0.00093,-0.059427489115540404,0.11619742211232276,-9.921992046764924,8.3,0.03666247887453481,0.6341538170657932,0.21138459430123957,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-87.84742971922265,0.2,3.7286442255102936,0.5144693675718297,126.0,0.1023757798401344,-37.116296842744084,0.0,0.11571870260202824,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.09277096693133674
VP12,0.0,0.0,0.0,150000.0,0.00093,-0.04363633817270423,0.10040627116948658,-10.124888806260712,8.3,0.030184952699281217,0.5759715628882105,0.19199051062014438,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-72.52098364096992,0.2,3.5552654719520413,0.4660878920609389,126.0,0.14350162949827505,-31.131684564569206,0.0,0.09552964913348648,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.08016345537648063
VP13,0.0,0.0,0.0,150000.0,0.00093,-0.057487715426430004,0.11425764842321236,-10.290712581553418,8.3,0.03479320807489138,0.6173637052470123,0.20578789066314224,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-57.89235065192579,0.2,3.8670414721820703,0.45847520598003655,126.0,0.1827550192234507,-25.41955168313293,0.0,0.07625980326840025,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.09122226922793344
VP14,0.0,0.0,0.0,150000.0,0.00093,-0.05022045312721519,0.10699038612399751,-10.142444510486012,8.3,0.0302518904341673,0.5765728091355962,0.19219092602514315,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-71.0616360644922,0.2,3.254124292108615,0.4384808479953964,126.0,0.14741753464176124,-30.56184408232553,0.0,0.09360729569941144,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.08542015298313327
VP15,0.0,0.0,0.0,150000.0,0.00093,-0.04402245618638021,0.10079238918316256,-10.114556556659377,8.3,0.03804871832163691,0.6466052581993564,0.21553507445550626,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-71.70173233408204,0.2,4.506163919025355,0.5410898120487099,126.0,0.1456999477455244,-30.811786435212987,0.0,0.09445047472120044,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.08047172849327751
VP16,0.0,0.0,0.0,150000.0,0.00093,-0.04843926540752592,0.10520919840430826,-10.202644390102392,8.3,0.03151490940135987,0.587917462725889,0.195972477018194,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-65.83797195630873,0.2,5.9895606065040985,0.64780840295793,126.0,0.16143432781618186,-28.52212762103484,0.0,0.08672632450469586,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.08399806887801377
VP17,0.0,0.0,0.0,150000.0,0.00093,-0.03137279177911357,0.08814272477589592,-10.095146838655074,8.3,0.044467669922991115,0.7042613854799183,0.2347537825137087,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-71.9364997670126,0.2,2.0865975696035917,0.3460985794827376,126.0,0.1450699902131627,-30.90345752807159,0.0,0.09475972660072345,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.07037235126884432
