,ApoA1_pl_clearance_rate_k,ApoB_pl_clearance_rate_k,Chol_ic_P_elimination_rate_k,Chol_ic_P_production_rate_k,Chol_ic_P_to_HDL_pl_rate_k,HDL_to_LDL_exchange_rate_k,HDL_to_VLDL_exchange_rate_k,LDLR_P_internalization_rate_k,LDLR_P_recycling_rate_k,LDLR_en_P_degradation_rate_k,LDLR_ic_P_production_rate_k,LDLR_ic_to_cs_P_trafficking_rate_k,LDL_LDLR_P_internalization_rate_k,LDL_LDLR_en_Kd*LDL_LDLR_en_association_rate_k,LDL_LDLR_en_association_rate_k,LDL_LDLR_pl_Kd*LDL_LDLR_pl_association_rate_k,LDL_LDLR_pl_association_rate_k,LDL_en_to_Chol_ic_P_rate_k,LDL_pl_LDLRind_P_uptake_rate_k,MAb_F*MAb_Ka,MAb_Ka*(-MAb_F + 1),MAb_PC9_2_Kd*MAb_PC9_2_association_rate_k,MAb_PC9_2_association_rate_k,MAb_PC9_2_kel,MAb_PCSK9_Kd*MAb_PCSK9_association_rate_k,MAb_PCSK9_association_rate_k,MAb_PCSK9_kel,MAb_dose,MAb_kel,PC9_LDLR_P_internalization_rate_k,PC9_LDLR_en_P_degradation_rate_k,PCSK9_LDLR_en_Kd*PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_pl_Kd*PCSK9_LDLR_pl_association_rate_k,PCSK9_LDLR_pl_association_rate_k,PCSK9_en_P_degradation_rate_k,PCSK9_pl_P_uptake_rate_k,PCSK9_pl_clearance_rate_k,SREBP_ic_P_degradation_rate_k,SREBP_ic_P_production_rate_k,SREBP_ic_to_nu_P_activation_rate_k,SREBP_nu_P_degradation_rate_k,StatinM_kel,Statin_F*Statin_Ka,Statin_Ka*(-Statin_F + 1),Statin_dose,Statin_kel,Statin_kmet,Statin_pc_to_pl_rate_k,Statin_pl_to_pc_rate_k,VLDL_pl_P_LDLRuptake_rate_k,VLDL_pl_P_uptake_rate_k,VLDL_to_LDL_conversion_rate_k
VP0,0.0,0.0,0.0,150000.0,0.00093,0.03296993299678233,0.0238,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.27756471508470587,0.0075,0.216,0.32457964582414756,0.0025,0.0,0.00125,-75.91463414634147,0.2,3.5999999999999996,0.47731339301251885,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.508263274454254,5.6759451945591515,0.031101435449983318,0.693,0.5094566596320704,0.14,0.8777878554579581,0.0,0.1,1.2434846393743921,0.33299999999999996,3.33,0.0,0.0,0.019001703934804087
VP1,0.0,0.0,0.0,150000.0,0.00093,0.03296993299678233,0.0238,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.5287190407679797,0.0075,0.216,0.317100824808335,0.0025,0.0,0.00125,-75.91463414634147,0.2,3.5999999999999996,0.47731339301251885,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.9932665361656979,10.779823668820743,0.031101435449983318,0.693,0.43508103236896417,0.14,0.8732530189141937,0.0,0.1,1.324406340188745,0.33299999999999996,3.33,0.0,0.0,0.019001703934804087
VP10,0.0,0.0,0.0,150000.0,0.00093,0.03296993299678233,0.0238,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.3481485185332687,0.0075,0.216,0.4894429058544083,0.0025,0.0,0.00125,-75.91463414634147,0.2,3.5999999999999996,0.47731339301251885,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.463897861036284,5.20907064665062,0.031101435449983318,0.693,0.5150118730866673,0.14,0.9473100500302156,0.0,0.1,1.485527625869503,0.33299999999999996,3.33,0.0,0.0,0.019001703934804087
VP11,0.0,0.0,0.0,150000.0,0.00093,0.03296993299678233,0.0238,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.28911516679156096,0.0075,0.216,0.24397385574373365,0.0025,0.0,0.00125,-75.91463414634147,0.2,3.5999999999999996,0.47731339301251885,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.6533298996482791,7.202537867459704,0.031101435449983318,0.693,0.5980318328990925,0.14,0.9271298307412175,0.0,0.1,0.726678117638476,0.33299999999999996,3.33,0.0,0.0,0.019001703934804087
VP12,0.0,0.0,0.0,150000.0,0.00093,0.03296993299678233,0.0238,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.2488734412783879,0.0075,0.216,0.5325076914757366,0.0025,0.0,0.00125,-75.91463414634147,0.2,3.5999999999999996,0.47731339301251885,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.9918026511335445,10.76441863571223,0.031101435449983318,0.693,0.5036875257790118,0.14,1.306543688136655,0.0,0.1,1.2424472672225062,0.33299999999999996,3.33,0.0,0.0,0.019001703934804087
VP13,0.0,0.0,0.0,150000.0,0.00093,0.03296993299678233,0.0238,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.4492533921579242,0.0075,0.216,0.3265166092676879,0.0025,0.0,0.00125,-75.91463414634147,0.2,3.5999999999999996,0.47731339301251885,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.5827908532640713,6.460227972130594,0.031101435449983318,0.693,0.5144444897785303,0.14,1.2474240528253107,0.0,0.1,1.1406198406182462,0.33299999999999996,3.33,0.0,0.0,0.019001703934804087
VP14,0.0,0.0,0.0,150000.0,0.00093,0.03296993299678233,0.0238,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.19536751676833372,0.0075,0.216,0.4029717605512629,0.0025,0.0,0.00125,-75.91463414634147,0.2,3.5999999999999996,0.47731339301251885,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.5969690430697949,6.609430592950249,0.031101435449983318,0.693,0.730899872379195,0.14,0.9277447834985829,0.0,0.1,1.0094276196552008,0.33299999999999996,3.33,0.0,0.0,0.019001703934804087
VP15,0.0,0.0,0.0,150000.0,0.00093,0.03296993299678233,0.0238,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.3590971142856415,0.0075,0.216,0.2469867829043864,0.0025,0.0,0.00125,-75.91463414634147,0.2,3.5999999999999996,0.47731339301251885,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.5342421106885392,5.949330619998666,0.031101435449983318,0.693,0.4578470213268062,0.14,0.7601812549718607,0.0,0.1,1.81010828528574,0.33299999999999996,3.33,0.0,0.0,0.019001703934804087
VP16,0.0,0.0,0.0,150000.0,0.00093,0.03296993299678233,0.0238,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.28156505305148694,0.0075,0.216,0.3360430949323427,0.0025,0.0,0.00125,-75.91463414634147,0.2,3.5999999999999996,0.47731339301251885,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.437538770302769,4.931683654816456,0.031101435449983318,0.693,0.5807617643543314,0.14,0.9498842989625222,0.0,0.1,1.214438205857533,0.33299999999999996,3.33,0.0,0.0,0.019001703934804087
VP17,0.0,0.0,0.0,150000.0,0.00093,0.03296993299678233,0.0238,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.3196832254619188,0.0075,0.216,0.2840878245691051,0.0025,0.0,0.00125,-75.91463414634147,0.2,3.5999999999999996,0.47731339301251885,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.8601467339174493,9.378952073039546,0.031101435449983318,0.693,0.6754086666114609,0.14,0.7738972603055909,0.0,0.1,1.184564387430671,0.33299999999999996,3.33,0.0,0.0,0.019001703934804087
